character,structure,animation,animation_pointer,frames,directions,png
28,0x06A9B78,0,0x03E78A0,2,4,character_sprites/character_028/animation_000.png
28,0x06A9B78,1,0x03EA978,4,4,character_sprites/character_028/animation_001.png
28,0x06A9B78,2,0x03ECC7C,3,4,character_sprites/character_028/animation_002.png
28,0x06A9B78,3,0x03EFB68,4,4,character_sprites/character_028/animation_003.png
28,0x06A9B78,4,0x03F0698,1,4,character_sprites/character_028/animation_004.png
28,0x06A9B78,5,0x03F2994,3,4,character_sprites/character_028/animation_005.png
28,0x06A9B78,6,0x03F4F84,8,4,character_sprites/character_028/animation_006.png
28,0x06A9B78,7,0x03F7D24,4,4,character_sprites/character_028/animation_007.png
28,0x06A9B78,8,0x03F8F60,8,4,character_sprites/character_028/animation_008.png
28,0x06A9B78,9,0x03FA930,6,4,character_sprites/character_028/animation_009.png
28,0x06A9B78,10,0x03FBE20,6,4,character_sprites/character_028/animation_010.png
92,0x06AC9B8,0,0x04BAA68,2,4,character_sprites/character_092/animation_000.png
92,0x06AC9B8,1,0x04BB954,4,4,character_sprites/character_092/animation_001.png
92,0x06AC9B8,2,0x04BC8EC,4,4,character_sprites/character_092/animation_002.png
92,0x06AC9B8,3,0x04BD490,3,4,character_sprites/character_092/animation_003.png
92,0x06AC9B8,4,0x04BE544,4,4,character_sprites/character_092/animation_004.png
92,0x06AC9B8,5,0x04BF588,4,4,character_sprites/character_092/animation_005.png
92,0x06AC9B8,6,0x04C063C,4,4,character_sprites/character_092/animation_006.png
92,0x06AC9B8,7,0x04C0A14,1,4,character_sprites/character_092/animation_007.png
92,0x06AC9B8,8,0x04C158C,3,4,character_sprites/character_092/animation_008.png
92,0x06AC9B8,9,0x04C1D24,2,4,character_sprites/character_092/animation_009.png
92,0x06AC9B8,10,0x04C1FAC,2,4,character_sprites/character_092/animation_010.png
92,0x06AC9B8,11,0x04C2ACC,3,4,character_sprites/character_092/animation_011.png
92,0x06AC9B8,12,0x04C3788,4,4,character_sprites/character_092/animation_012.png
92,0x06AC9B8,13,0x04C41AC,4,4,character_sprites/character_092/animation_013.png
92,0x06AC9B8,14,0x04C46E4,4,4,character_sprites/character_092/animation_014.png
92,0x06AC9B8,15,0x04C5340,3,4,character_sprites/character_092/animation_015.png
92,0x06AC9B8,16,0x04C639C,4,4,character_sprites/character_092/animation_016.png
93,0x06ACA5C,0,0x04BAA68,2,4,character_sprites/character_093/animation_000.png
93,0x06ACA5C,1,0x04BB954,4,4,character_sprites/character_093/animation_001.png
93,0x06ACA5C,2,0x04BC8EC,4,4,character_sprites/character_093/animation_002.png
93,0x06ACA5C,3,0x04BD490,3,4,character_sprites/character_093/animation_003.png
93,0x06ACA5C,4,0x04BE544,4,4,character_sprites/character_093/animation_004.png
93,0x06ACA5C,5,0x04BF588,4,4,character_sprites/character_093/animation_005.png
93,0x06ACA5C,6,0x04C063C,4,4,character_sprites/character_093/animation_006.png
93,0x06ACA5C,7,0x04C0A14,1,4,character_sprites/character_093/animation_007.png
93,0x06ACA5C,8,0x04C158C,3,4,character_sprites/character_093/animation_008.png
93,0x06ACA5C,9,0x04C1D24,2,4,character_sprites/character_093/animation_009.png
93,0x06ACA5C,10,0x04C1FAC,2,4,character_sprites/character_093/animation_010.png
93,0x06ACA5C,11,0x04C2ACC,3,4,character_sprites/character_093/animation_011.png
93,0x06ACA5C,12,0x04C3788,4,4,character_sprites/character_093/animation_012.png
93,0x06ACA5C,13,0x04C41AC,4,4,character_sprites/character_093/animation_013.png
93,0x06ACA5C,14,0x04C46E4,4,4,character_sprites/character_093/animation_014.png
93,0x06ACA5C,15,0x04C5340,3,4,character_sprites/character_093/animation_015.png
93,0x06ACA5C,16,0x04C639C,4,4,character_sprites/character_093/animation_016.png
105,0x06AD1CC,0,0x050C1DC,2,4,character_sprites/character_105/animation_000.png
105,0x06AD1CC,1,0x050CF74,4,4,character_sprites/character_105/animation_001.png
105,0x06AD1CC,2,0x050DD14,4,4,character_sprites/character_105/animation_002.png
105,0x06AD1CC,3,0x050E7DC,3,4,character_sprites/character_105/animation_003.png
105,0x06AD1CC,4,0x050F68C,4,4,character_sprites/character_105/animation_004.png
105,0x06AD1CC,5,0x05104E8,4,4,character_sprites/character_105/animation_005.png
105,0x06AD1CC,6,0x051131C,4,4,character_sprites/character_105/animation_006.png
105,0x06AD1CC,7,0x05116A0,1,4,character_sprites/character_105/animation_007.png
105,0x06AD1CC,8,0x0511A98,4,4,character_sprites/character_105/animation_008.png
105,0x06AD1CC,9,0x0512564,3,4,character_sprites/character_105/animation_009.png
105,0x06AD1CC,10,0x0512CD8,11,4,character_sprites/character_105/animation_010.png
105,0x06AD1CC,11,0x05133B4,2,4,character_sprites/character_105/animation_011.png
105,0x06AD1CC,12,0x0513668,2,4,character_sprites/character_105/animation_012.png
105,0x06AD1CC,13,0x05140A4,3,4,character_sprites/character_105/animation_013.png
105,0x06AD1CC,14,0x05149C8,4,4,character_sprites/character_105/animation_014.png
105,0x06AD1CC,15,0x051506C,4,4,character_sprites/character_105/animation_015.png
105,0x06AD1CC,16,0x0515534,4,4,character_sprites/character_105/animation_016.png
105,0x06AD1CC,17,0x0515F5C,3,4,character_sprites/character_105/animation_017.png
105,0x06AD1CC,18,0x05166AC,3,4,character_sprites/character_105/animation_018.png
105,0x06AD1CC,19,0x051754C,11,4,character_sprites/character_105/animation_019.png
106,0x06AD278,0,0x0517C20,2,4,character_sprites/character_106/animation_000.png
